timestamp,type,note,velocity
2026-04-10 18:46:13.537,note_on,60,76
2026-04-10 18:46:14.060,note_off,60,0
2026-04-10 18:46:14.091,note_on,62,100
2026-04-10 18:46:14.353,note_on,60,100
2026-04-10 18:46:14.414,note_off,62,0
2026-04-10 18:46:14.629,note_on,59,127
2026-04-10 18:46:14.690,note_off,60,0
2026-04-10 18:46:14.860,note_on,57,127
2026-04-10 18:46:14.906,note_off,59,0
2026-04-10 18:46:15.168,note_on,55,100
2026-04-10 18:46:15.184,note_off,57,0
2026-04-10 18:46:15.475,note_off,55,0
2026-04-10 18:46:16.642,note_on,60,76
2026-04-10 18:46:17.150,note_on,62,100
2026-04-10 18:46:17.151,note_off,60,0
2026-04-10 18:46:17.427,note_on,60,100
2026-04-10 18:46:17.489,note_off,62,0
2026-04-10 18:46:17.658,note_on,59,100
2026-04-10 18:46:17.720,note_off,60,0
2026-04-10 18:46:17.921,note_on,57,100
2026-04-10 18:46:17.982,note_off,59,0
2026-04-10 18:46:18.198,note_off,57,0
2026-04-10 18:46:18.259,note_on,59,127
2026-04-10 18:46:18.874,note_off,59,0
2026-04-10 18:46:19.368,note_on,60,100
2026-04-10 18:46:19.599,note_on,59,100
2026-04-10 18:46:19.630,note_off,60,0
2026-04-10 18:46:19.875,note_on,57,76
2026-04-10 18:46:19.937,note_off,59,0
2026-04-10 18:46:20.230,note_on,55,76
2026-04-10 18:46:20.276,note_off,57,0
2026-04-10 18:46:20.784,note_on,54,127
2026-04-10 18:46:20.815,note_off,55,0
2026-04-10 18:46:21.352,note_off,54,0
2026-04-10 18:46:21.598,note_on,55,100
2026-04-10 18:46:21.936,note_on,57,100
2026-04-10 18:46:22.028,note_off,55,0
2026-04-10 18:46:22.275,note_off,57,0
2026-04-10 18:46:22.290,note_on,59,64
2026-04-10 18:46:22.643,note_on,55,127
2026-04-10 18:46:22.673,note_off,59,0
2026-04-10 18:46:23.642,note_off,55,0
2026-04-10 18:46:25.474,note_on,57,76
2026-04-10 18:46:25.614,note_on,55,100
2026-04-10 18:46:25.645,note_off,57,0
2026-04-10 18:46:26.000,note_off,55,0
2026-04-10 18:46:28.094,note_on,59,64
2026-04-10 18:46:28.233,note_on,57,100
2026-04-10 18:46:28.387,note_off,59,0
2026-04-10 18:46:29.572,note_off,57,0
2026-04-10 18:46:30.666,note_on,62,64
2026-04-10 18:46:31.144,note_off,62,0
2026-04-10 18:46:31.437,note_on,55,64
2026-04-10 18:46:31.697,note_on,57,100
2026-04-10 18:46:31.744,note_off,55,0
2026-04-10 18:46:31.975,note_on,59,100
2026-04-10 18:46:32.083,note_off,57,0
2026-04-10 18:46:32.252,note_on,60,64
2026-04-10 18:46:32.361,note_off,59,0
